0.502655 5.78053  -7.0667
0.502655 6.03186  4.51232
0.502655 6.28319  5.00092
0.753982 0  1.2114
0.753982 0.251327  0.98497
0.753982 0.502655  1.18303
0.753982 0.753982  2.838561
0.753982 1.00531  7.04921
0.753982 1.25664  13.2952
0.753982 1.50796  17.3943
0.753982 1.75929  13.2497
0.753982 2.01062  2.318331
0.753982 2.26195  -0.46008
0.753982 2.51327  11.56718
0.753982 2.7646  13.4383
0.753982 3.01593  -1.65727
0.753982 3.26726  6.08533
0.753982 3.51858  12.18959
0.753982 3.76991  -4.01419
0.753982 4.02124  12.28288
0.753982 4.27257  -1.43011
0.753982 4.52389  7.5502
0.753982 4.77522  -0.44912
0.753982 5.02655  7.27754
0.753982 5.27788  -4.48755
0.753982 5.5292  10.33127
0.753982 5.78053  -7.2787
0.753982 6.03186  4.30527
0.753982 6.28319  4.79901
1.00531 0  0.9337
1.00531 0.251327  0.70739
1.00531 0.502655  0.90582
1.00531 0.753982  2.561958
1.00531 1.00531  6.77346
1.00531 1.25664  13.0205
1.00531 1.50796  17.1209
1.00531 1.75929  12.97794
1.00531 2.01062  2.048383
1.00531 2.26195  -0.72798
1.00531 2.51327  11.30156
1.00531 2.7646  13.1752
1.00531 3.01593  -1.91764
1.00531 3.26726  5.82792
1.00531 3.51858  11.93537
1.00531 3.76991  -4.26499
1.00531 4.02124  12.0357
1.00531 4.27257  -1.67345
1.00531 4.52389  7.31092
1.00531 4.77522  -0.68414
1.00531 5.02655  7.04697
1.00531 5.27788  -4.71346
1.00531 5.5292  10.11021
1.00531 5.78053  -7.4947
1.00531 6.03186  4.09448
1.00531 6.28319  4.59361
1.25664 0  0.64895
1.25664 0.251327  0.42277
1.25664 0.502655  0.62158
1.25664 0.753982  2.278363
1.25664 1.00531  6.49076
1.25664 1.25664  12.73895
1.25664 1.50796  16.8408
1.25664 1.75929  12.69945
1.25664 2.01062  1.7718
1.25664 2.26195  -1.00241
1.25664 2.51327  11.02953
1.25664 2.7646  12.90583
1.25664 3.01593  -2.18414
1.25664 3.26726  5.56454
1.25664 3.51858  11.67536
1.25664 3.76991  -4.52142
1.25664 4.02124  11.78309
1.25664 4.27257  -1.92202
1.25664 4.52389  7.06661
1.25664 4.77522  -0.92398
1.25664 5.02655  6.81182
1.25664 5.27788  -4.94371
1.25664 5.5292  9.88506
